card
Card Name,ID
Birds,coop_sbeast_birds
Chase,coop_sbeast_dash
Exhaustion,coop_sbeast_exhaustion
Hide And Seek,coop_sbeast_hideandseek
Hype It Up,coop_sbeast_hypeitup
Hype Mode,coop_sbeast_hypemode
Play,coop_sbeast_play
Play Tag,coop_sbeast_playtag
Play With Birds,coop_sbeast_playwithbirds
Psyched Up,coop_sbeast_psychedup
Pudding Break,coop_sbeast_puddingbreak
Pudding Seeker,coop_sbeast_puddingseeker
Rampage,coop_sbeast_rampage
Rampage (Hyper),coop_sbeast_rampagehyper
Rest,coop_sbeast_rest
Sandwich Thieves,coop_sbeast_sandwichthieves
Seagull Friend / Dance of the Seagulls,coop_sbeast_seagullfriend
Seagull Master,coop_sbeast_seagullmaster
Splash Water,coop_sbeast_splashwater
Tire Out,coop_sbeast_tireout
Watermelon Splitting,coop_sbeast_watermelonsplitting
