card
Card Name,ID
Balance Currency,coop_ropochi_balancecurrency
Beak of the Demi-Bird,coop_ropochi_beakofdemibird
Big Po's Special,coop_ropochi_bigpospecial
Catcher,coop_ropochi_catcher
Delusional Numbers,coop_ropochi_delusionalnumbers
Identity Crisis,coop_ropochi_identitycrisis
Pluck,coop_ropochi_pluck
Po-Bomber / Invisible Bomb,coop_ropochi_po-bomber
Poppocare,coop_ropochi_poppocare
Poppo March,coop_ropochi_poppomarch
Poppo Universe,coop_ropochi_poppouniverse
Po-tect,coop_ropochi_potect
Premium Regeneration,coop_ropochi_premiumregen
Refined Talons,coop_ropochi_refinedtalons
Robo Tax,coop_ropochi_robotax
Roost Boost,coop_ropochi_roostboost
RoPo Barrage,coop_ropochi_ropobarrage
Second Wing,coop_ropochi_secondwing
Sky Restaurant 'Poppo',coop_ropochi_skyrespoppo
Turbo Chicken,coop_ropochi_turbochicken
Wireless Chicken,coop_ropochi_wirelesschicken
