unit,
CardName,UnitID
Arthur,arthur
Chris,chris
Fernet (Noble),fernetnoble
Krilalaris,krila
Marc (Pilot),marcpilot
Mei,mei
Mimyuu,mimyuu
Mira,mira
Star Breaker,starb
Tequila,tequila
Tomomo (Casual & Sweet Eater),tmsw
Yuuki,yuuki
Poppo (Boss),bpoppo
Alicianrone,alicianrone
Alte,alte
Arnelle,arnelle
Aru,aru
Aru (Scramble!),arus
Ceoreparque,ceor
Chicken,chicken
Cook,cook
Cuties,cuties
Ellie,ellie
Fernet,fernet
Flying Castle,castle
Halena,halena
Hime,hime
Hime (Moonlight),himem
Iru,iru
Islay,islay
Kae,kae
Kai,kai
Kiriko,kiriko
Kyoko,kyoko
Kyousuke,ksuke
Kyupita,kyupita
Lone Rider,lonerider
Lulu,lulu
Malt,malt
Manager,master
Marc,marc
Maynie,maynie
Mescal,mescal
Merchant,merchant
Mio,mio
Miusaki,miusaki
Nanako,nanako
Nath,nath
Natsumi,natsumi
Nico,nico
NoName,non
Peat,peat
Marie Poppo,poppo
Marie Poppo (Mixed),npoppo
QP,qp
QP (Dangerous),qpd
Robo Ball,ball
Saki,saki
Seagull,seagull
Sham,sham
Sherry,sherry
Shifu,shifu
Shifu Robot,brobo
Sora,sora
Sora (Military),sorasp
Suguri,suguri
Suguri (46 billion years),suguri46
Suguri (Ver. 2),sugurib
Sumika,sumika
Sweet Breaker,sweetb
Syura,syura
Teotoratta,teotoratta
Tomato,tomato
Tomomo,tomomo
Tsih,tsih
Yuki,yuki
Yuki (Dangerous),yukid
Hoshino Reika,reika
Bunnizard (Bounty Hunt),lizardit
Emerangler,mole
Globbu,magma
Gost,ghost
Haunted Doll (Bounty Hunt),doll
Heliseed (Bounty Hunt),heliseed
Moss Golem (Bounty Hunt),golem
Mousse (Bounty Hunt),mpoppo
Pirate Crew Minion,teq_minion
Ruffshroom,shroom
Terrawyrmer,snek
The Harbinger,evilguardian
Trollite,troll
Turnislime (Bounty Hunt),blob
Wolly,fluff
Chef,chef
Big the Haruo (Coop Boss),bchicken
Big the Jonathan,seagullboss
M10 (Coop Boss),bball
Ropochi,ropochi
Star Devourer (Coop Boss),gpoppo
Summer Beast (Coop Boss),bqp
Swimming Coach,swimmingcoach
Watty,watty
Pomeranius,pomeranius
Sweet Creator,sweetcreator
Saki (Sweet Maker),sweetmaker
Natsumi (Sweet Blogger),sweetblogger
Krilalaris (Pajamas),krilap
Mimyuu (Jailbird),mimyuuj
Mother Poppo,poppomama
Dark Lulu,luludark
Kai (Hero),kaihero
Hyper Ellie,elliehyper
Bourbon,bourbon
Grain,grain
Poyo,poyo
Chuu,chuu
Haruka,haruka
Kanata,kanata
