card,
Card Name,ID
Beak of the Godbird,coop_chicken_beakofthegodbird
Call of the Chicken,coop_chicken_callofthechicken
Chicken Attack,coop_chicken_chickenattack
Chicken Run,coop_chicken_chickenrun
Doze,coop_chicken_doze
Final Warning,coop_chicken_finalwarning
Flight,coop_chicken_flight
Group Up,coop_chicken_groupup
Headless Chicken,coop_chicken_headlesschicken
Hen Pecked,coop_chicken_henpecked
Peck,coop_chicken_peck
Piyo March,coop_chicken_piyomarch
Present,coop_chicken_present
Regeneration,coop_chicken_regeneration
Roost,coop_chicken_roost
Savage Talons,coop_chicken_savagetalons
Second Wing,coop_chicken_secondwing
Swarm,coop_chicken_swarm
From the Abyss,coop_poppo_bigpoppo
Home Sweeper,coop_homesweep
Aurora,fae
Bunnizard,blizard_ply
Emerangler,mole_ply
Globbu,magma_ply
Guardian,guardian
Gost,ghost_ply
Haunted Doll,doll_ply
Heliseed,hellseed_ply
Moss Golem,golem_ply
Mousse,mpoppo_ply
Ruffshroom,shroom_ply
Terrawyrmer,snek_ply
The Harbinger,evilguardian
Trollite,troll_ply
Turnislime,blob_ply
Wolly,wolly_ply
Attacker,coop_class_atk
Avenger,coop_class_avg
Dealer,coop_class_dealer
Guardian,coop_class_def
Support,coop_class_sup
Guardian of Blooming Flowers,summer18_supp_
Lifeguard on the White Beach,summer18_def_
Summer Games,summer_games
Ultimate Weapon in the Sun,summer18_atk_
Unforgiving Avenger,summer18_extra_
Balloon Jerk,balloonjerk
Big Poppo,bpoppo
Big the Haruo,bchicken
Big the Jonathan,seagullboss
Goalpost,goalpost
M10 Robot,bball
RoPoChi,ropochi
Star Devourer,gpoppo
Summer Beast,bqp
Swimming Coach,swimmingcoach
Swimming Ringer,swimmingringer
Accelerator,accel
Affluence (X),affluence
Air Strike,bakugeki
Angel Hand,angelhand
Another Ultimate Weapon,ultwep
Awakening of Talent,awakening
Banned for Life,banned
Beast Witch,beastwitch
Beyond Hell,hell
Big Bang Bell,bigbang
Big Rocket Cannon,rocketcannon
Binding Chains,sokubaku
Blazing!,blazing
Blue Crow the Second,blue2nd
Branch Expansion Strategy,bestrategy
Cast Off,castoff
"Chef, I Could Use Some Help!",chefhelp
Cooking Time,cookingtime
Crystal Barrier,crystalb
Dance in the Moonlit Night,dancingmoonnight
"Dance, Long-Eared Beasts!",danceb
Delta Field,delta
Deploy Bits,bitdeploy
Devil Hand,devilhand
Do Pirates Fly in the Sky?,piratesfly
Ellie's Miracle,elliemiracle
Evil Mastermind,evilm
Evil Spy Work - Execution,evilspyexec
Evil Spy Work - Preparation,evilspyprep
Extended Photon Rifle,photonrifle
Extraordinary Specs,detarame
Final Surgery,finalsurgery
Flying Pirate,flyingpirate
Full Speed Alicianrone,speedwitch
Gamble!,gamble
Golden Egg,golden
Guidance of the Weathercock,guidance
Hyper Mode,hypmode
Ideal World,idealworld
Immovable Object,immovable
Intelligence Officer,intofficer
Invisible Bomb,sbftibomb
Jonathan Rush,rush
Leap Through Space (Marking),spaceleapm
Leap Through Space,spaceleap
Little Magnum,littlemagnum
