card
Card Name,ID
Beak of the Godbird,coop_chicken_beakofthegodbird
Call of the Chicken,coop_chicken_callofthechicken
Chicken Attack,coop_chicken_chickenattack
Chicken Run,coop_chicken_chickenrun
Doze,coop_chicken_doze
Final Warning,coop_chicken_finalwarning
Flight,coop_chicken_flight
Group Up,coop_chicken_groupup
Headless Chicken,coop_chicken_headlesschicken
Hen Pecked,coop_chicken_henpecked
Peck,coop_chicken_peck
Piyo March,coop_chicken_piyomarch
Present,coop_chicken_present
Regeneration,coop_chicken_regeneration
Roost,coop_chicken_roost
Savage Talons,coop_chicken_savagetalons
Second Wing,coop_chicken_secondwing
Swarm,coop_chicken_swarm
