card,
Card Name,ID
Air Raid,coop_jonathan_airraid
Air Strike,coop_jonathan_airstrike
Aura of Terror,coop_jonathan_auraofterror
Chase Around,coop_jonathan_chasearound
Cloud of Seagulls,coop_jonathan_cloudofseagulls
Dive,coop_jonathan_dive
Double Rush,coop_jonathan_rush2
False Hope,coop_jonathan_falsehope
Frantic,coop_jonathan_frantic
Hunt,coop_jonathan_hunt
Launch,coop_jonathan_launch
Mega Rush,coop_jonathan_megarush
Quake,coop_jonathan_quake
Rake,coop_jonathan_rake
Rush,coop_jonathan_rush
Screech,coop_jonathan_screech
Snacks,coop_jonathan_snacks
Snatch,coop_jonathan_snatch
Swipe,coop_jonathan_swipe
Wave of Despair,coop_jonathan_waveofdespair
