card
Card Name,ID
Assault Field,coop_robo_assaultfield
Attack Down,coop_robo_attackdown
Balance Currents,coop_robo_balancecurrents
Defense Down,coop_robo_defensedown
EMP,coop_robo_emp
Engage,coop_robo_engage
Evasion Down,coop_robo_evasiondown
Health Down,coop_robo_healthdown
Imaginary Numbers,coop_robo_imaginarynumbers
Immovable Object,coop_robo_immovableobject
Malfunction,coop_robo_malfunction
Perfect Reflective Shell,coop_robo_perfectreflective
Protect,coop_robo_protect
Quick Repair,coop_robo_quickrepair
Recovery Mode,coop_robo_recoverymode
Robo Beam,coop_robo_extendedphotonrifle
Scrambled Delta Field,coop_robo_deltafield
Self Destruction,coop_robo_selfdestruction
Solid Witch (Binder only),coop_robo_solidwitch
Turbo,coop_robo_turbo
