card
Card Name,ID
Adventurer's Radar,bty_item_radar
Fluffy Shokupan,bty_item_fshokupan
Holy Water,bty_item_holywater
Lure,bty_item_lurebomb
Shokupan,bty_item_shokupan
Slimebomb,bty_item_slimebomb
Smoke of the Lost Memories,bty_item_smokelostmemories
Teleportation Potion,bty_item_teleport
Grown-up Snowball Fight,xmas2018_offense
Snowball Reflector,xmas2018_defense
Sweet Battle!,vday18_
Blue Mushroom,blueshroom
Brown Mushroom,brownshroom
Green Mushroom,greenshroom
Legendary Red Mushroom,legendaryredshroom
Orange Mushroom,orangeshroom
Phantom Blue Mushroom,phantomblueshroom
Pink Mushroom,pinkshroom
Purple Mushroom,purpleshroom
Rainbow Mushroom,rainbowshroom
Red Mushroom,redshroom
White Mushroom,whiteshroom
Yellow Mushroom,yellowshroom
