card,
Card Name,ID
Accel Hyper,accelhyper
Accelerating Sky,accelsky
Ambush,ambush
Assault,assault
Backdoor Trade,backdoortrade
Bad Pudding,dainashi
BanaNana,bananana
Big Magnum,magnum
Bloodlust,bloodlust
Brutal Prank,brutalprank
Cloud of Seagulls,taigun
Completion Reward,completionreward
Dangerous Pudding,danger
Dark Side of Business,darkside
Dash!,dash
Deceptive Disarming,ddisarming
Desperate Modification,desperate
Dinner,dinner
Encore,encore
Exchange,torikae
Extend,extend
Extension,extension
Final Battle,lstbtl
Flamethrower,flame
Flip Out,yatuatari
For the Future of the Toy Store,omochaya
Forced Revival,sosei
Gentleman's Battle,gentlemansbattle
Gift Exchange,prchange
Go Away,tondeke
Heat 300%,heat300
Here and There,acchi
Holy Night,holy
Home Improvement,himprovement
I Wanna See You,iwannaseeyou
I'm on Fire!,moeruyo
Indiscriminate Fire Support,firesupport
Invasion,syuurai
Little War,littlewar
Lonely Chariot,chariot
Long-Distance Shot,enkyori
Lost Child,lostchild
Lucky Charm,luckycharm
Lucky Sevens,lsevens
Metallic Monocoque,monocoque
Mimic,mimic
Mimyuu's Hammer,hammer
Mix Phenomenon,mixpheno
Nice Jingle,sutekija
Nice Present,xms
Oh My Friend,myfriend
Out of Ammo,tamagire
Overtime,ohours
Party Time,party
Passionate Research,research
Path Blockers,pathblockers
Pet Snacks,psnacks
Piggy Bank,chokin
Piyopiyo Procession,piyopiyo
Play of the Gods,playofthegods
Poppo the Snatcher,popposnatcher
Poppoformation,poppotransformation
Portable Pudding,portablepudding
Present Thief,presentthief
President's Privilege,prespriv
Price of Power,price
Princess's Privilege,tokken
Pudding,pudding
Quick Restoration,quickrestoration
Rainbow-Colored Circle,niziwa
Rbits,usabit
Reverse Attribute Field,hanten
Saki's Cookie,cookie
Scary Solicitation,solici
Scrambled Eve,scrambledeve
Sealed Guardian,huuin
Sealed Memories,memseal
Serene Hush,serenehush
Serious Battle,seriousbattle
Shield,shield
Shield Counter,shieldinv
Sink or Swim,sinkorswim
Sky Restaurant 'Pures',pures
Star-Blasting Light,starblazinglight
Stiff Crystal,kessyou
Super All-Out Mode,honki
Sweet Destroyer,sweetdestroyer
Tactical Retreat,tactretr
Tragedy in the Dead of Night,mayonaka
Treasure Thief,treasurethief
Unlucky Charm,unluckycharm
Unpaid Work,unpaidwork
Wanted,wanted
We Are Waruda,waruda
Windy Enchantment,windyenchantment
Bank of Poppo,bankofpoppo
Contest of Cuteness,contestofcuteness
My Wild Friends,mywildfriends
Nanako's Bit,nanakobit
Rebellion,rebellion
Warp Control,warpcontrol
