card
Card Name,ID
Death and Taxes,coop_poppo_deathandtaxes
Elusive,coop_poppo_elusive
Greed,coop_poppo_greed
Highway Robbery,coop_poppo_highwayrobbery
Nap,coop_poppo_nap
Poppocalypse,coop_poppo_poppocalypse
Poppoformation,coop_poppo_poppoformation
Poppo Galaxy,coop_poppo_poppogalaxy
Poppo Tax,coop_poppo_poppotax
Ransom Note,coop_poppo_ransomnote
Sky Restaurant 'Poppo',coop_poppo_skyrespoppo
Snatcher,coop_poppo_snatcher
Star Mania,coop_poppo_starmania
Temptation,coop_poppo_temptation
Tithe,coop_poppo_tithe
Ubiquitous,coop_poppo_ubiquitous
Value Judgment,coop_poppo_valuejudgment
Warp Phenomenon,coop_poppo_warpphenomenon
